jointAngle,jointVelocity,activation,fiberAngle,fiberAngularVelocity,passiveTorqueAngleMultiplier,activeTorqueAngleMultiplier,torqueVelocityMultiplier,activeTorque,passiveTorque,fiberTorque,jointTorque,fiberStiffness,jointStiffness,fiberActivePower,fiberPassivePower,fiberPower,jointPower,DjointTorqueDactivation,DjointTorqueDjointAngularVelocity,DjointTorqueDjointAngle
-2.7803290349550140e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.7803290349550140e+00, -0.0000000000000000e+00, 0.0000000000000000e+00, 1.2207031250000000e-04, 1.0000162255859375e+00, 1.8523511124917860e-03, 0.0000000000000000e+00, 1.8523511124917860e-03, -1.8523511124917860e-03, 0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -1.8523511124917860e-03, -7.3951618969414815e-04, -0.0000000000000000e+00
-2.7064490479522529e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.7064490479522529e+00, -0.0000000000000000e+00, 0.0000000000000000e+00, 1.2207031250000000e-04, 1.0000162255859375e+00, 1.8523511124917860e-03, 0.0000000000000000e+00, 1.8523511124917860e-03, -1.8523511124917860e-03, 0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -1.8523511124917860e-03, -7.3951618969414815e-04, -0.0000000000000000e+00
-2.6325690609494918e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.6325690609494918e+00, -0.0000000000000000e+00, 0.0000000000000000e+00, 1.2207031250000000e-04, 1.0000162255859375e+00, 1.8523511124917860e-03, 0.0000000000000000e+00, 1.8523511124917860e-03, -1.8523511124917860e-03, 0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -1.8523511124917860e-03, -7.3951618969414815e-04, -0.0000000000000000e+00
-2.5586890739467307e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.5586890739467307e+00, -0.0000000000000000e+00, 0.0000000000000000e+00, 1.2207031250000000e-04, 1.0000162255859375e+00, 1.8523511124917860e-03, 0.0000000000000000e+00, 1.8523511124917860e-03, -1.8523511124917860e-03, 0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -1.8523511124917860e-03, -7.3951618969414815e-04, -0.0000000000000000e+00
-2.4848090869439696e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.4848090869439696e+00, -0.0000000000000000e+00, 0.0000000000000000e+00, 1.2207031250000000e-04, 1.0000162255859375e+00, 1.8523511124917860e-03, 0.0000000000000000e+00, 1.8523511124917860e-03, -1.8523511124917860e-03, 0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -1.8523511124917860e-03, -7.3951618969414815e-04, -0.0000000000000000e+00
-2.4109290999412085e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.4109290999412085e+00, -0.0000000000000000e+00, 0.0000000000000000e+00, 1.2207031250000000e-04, 1.0000162255859375e+00, 1.8523511124917860e-03, 0.0000000000000000e+00, 1.8523511124917860e-03, -1.8523511124917860e-03, 0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -1.8523511124917860e-03, -7.3951618969414815e-04, -0.0000000000000000e+00
-2.3370491129384474e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.3370491129384474e+00, -0.0000000000000000e+00, 0.0000000000000000e+00, 1.2207031250000000e-04, 1.0000162255859375e+00, 1.8523511124917860e-03, 0.0000000000000000e+00, 1.8523511124917860e-03, -1.8523511124917860e-03, 0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -1.8523511124917860e-03, -7.3951618969414815e-04, -0.0000000000000000e+00
-2.2631691259356863e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.2631691259356863e+00, -0.0000000000000000e+00, 0.0000000000000000e+00, 1.2207031250000000e-04, 1.0000162255859375e+00, 1.8523511124917860e-03, 0.0000000000000000e+00, 1.8523511124917860e-03, -1.8523511124917860e-03, 0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -1.8523511124917860e-03, -7.3951618969414815e-04, -0.0000000000000000e+00
-2.1892891389329252e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.1892891389329252e+00, -0.0000000000000000e+00, 0.0000000000000000e+00, 1.2207031250000000e-04, 1.0000162255859375e+00, 1.8523511124917860e-03, 0.0000000000000000e+00, 1.8523511124917860e-03, -1.8523511124917860e-03, 0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -1.8523511124917860e-03, -7.3951618969414815e-04, -0.0000000000000000e+00
-2.1154091519301641e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, -2.1154091519301641e+00, -0.0000000000000000e+00, 0.0000000000000000e+00, 1.2207031250000000e-04, 1.0000162255859375e+00, 1.8523511124917860e-03, 0.0000000000000000e+00, 1.8523511124917860e-03, -1.8523511124917860e-03, 0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -0.0000000000000000e+00, -1.8523511124917860e-03, -7.3951618969414815e-04, -0.0000000000000000e+00
